Age,Attrition,DistanceFromHome,Education,EmployeeCount,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,AvgYearsPerCompany,StabilityUnderManager,TravelIntensity,YearsBeforePromotion,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Department_Research & Development,Department_Sales,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Total_Hours
29,0,16,3,1,25,1,65130,1.0,1,11,8,1,10.0,2,10,0,9,10.0,0.9,32,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,3,3,1638.52
55,0,1,3,1,26,1,67990,3.0,1,11,8,0,12.0,2,10,0,8,4.0,0.8,1,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,3,3,2256.24
26,0,9,2,1,27,1,162910,1.0,1,22,8,0,5.0,3,5,3,3,5.0,0.6,18,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3,4,2623.53
37,0,5,0,1,28,1,27050,1.0,1,11,8,0,17.0,2,17,5,7,17.0,0.4117647058823529,5,12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,3,3,1794.65
44,1,1,1,1,29,2,103330,3.0,1,14,8,1,19.0,2,1,0,0,6.333333333333333,0.0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,2,3,2667.55
38,0,2,2,1,30,1,44480,9.0,1,12,8,0,10.0,3,2,1,2,1.1111111111111112,1.0,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,2,3,1571.19
26,1,4,2,1,31,3,68540,2.0,1,11,8,0,5.0,5,3,0,2,2.5,0.6666666666666666,4,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2,3,2406.04
28,0,7,2,1,32,1,96370,1.0,1,13,8,0,5.0,6,5,0,2,5.0,0.4,7,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,2,3,1623.74
49,0,1,0,1,33,2,35910,9.0,1,13,8,0,22.0,2,3,1,2,2.4444444444444446,0.6666666666666666,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,3,3,2461.26
36,0,5,2,1,34,3,54050,4.0,1,14,8,0,10.0,2,8,7,7,2.5,0.875,5,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,3,3,1502.44
31,0,9,3,1,35,1,46840,1.0,1,16,8,1,2.0,4,2,2,2,2.0,1.0,18,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,3,3,1580.73
26,1,8,2,1,36,2,157870,1.0,1,12,8,2,8.0,5,8,7,4,8.0,0.5,8,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,3,3,2383.16
37,0,9,0,1,37,1,15140,1.0,1,14,8,0,4.0,3,4,1,2,4.0,0.5,18,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,3,3,2415.82
42,0,2,1,1,38,3,29560,5.0,1,13,8,0,23.0,2,20,4,8,4.6,0.4,4,16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,3,3,1375.3
18,1,1,3,1,39,1,23350,1.0,1,14,8,2,0.0,3,0,0,0,0.0,0.6666666666666666,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,2,3,1538.14
35,0,20,1,1,40,1,51540,0.0,1,19,8,0,12.0,2,11,6,9,4.0,0.8181818181818182,20,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2,3,1837.95
36,0,8,2,1,41,3,69620,4.0,1,12,8,2,4.0,2,1,0,0,1.0,0.0,16,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,2,3,1757.95
51,0,2,2,1,42,2,56750,5.0,1,13,8,0,13.0,2,4,1,2,2.6,0.5,2,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,2,3,1784.77
41,0,29,0,1,43,1,23790,1.0,1,12,8,0,22.0,6,22,0,4,22.0,0.1818181818181818,29,22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,3,3,1682.54
18,0,7,2,1,44,1,38120,1.0,1,15,8,0,0.0,3,0,0,0,0.0,0.6666666666666666,7,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,3,3,1682.13
28,0,9,2,1,45,1,46480,0.0,1,23,8,2,9.0,2,8,0,7,4.0,0.875,9,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2,4,1757.18
31,0,8,0,1,46,1,29360,4.0,1,12,8,1,10.0,2,8,7,7,2.5,0.875,8,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,3,3,1721.49
39,0,5,3,1,47,2,21050,0.0,1,20,8,0,19.0,3,18,3,7,4.0,0.3888888888888889,5,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,3,4,1794.65
36,0,5,3,1,48,1,85780,7.0,1,21,8,0,11.0,4,9,0,8,1.5714285714285714,0.8888888888888888,0,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3,4,1856.37
32,0,2,2,1,49,2,27060,1.0,1,21,8,1,13.0,4,13,4,8,13.0,0.6153846153846154,2,9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,3,4,1583.27
38,0,5,1,1,50,3,63840,3.0,1,19,8,2,19.0,4,10,0,1,6.333333333333333,0.1,5,10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2,3,1574.66
58,0,2,2,1,51,2,39680,2.0,1,13,8,2,12.0,3,5,1,2,6.0,0.4,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,2,3,2636.7
31,0,20,0,1,52,3,99070,0.0,1,13,8,1,6.0,3,5,0,3,4.0,0.6,20,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,2,3,2162.78
31,0,7,3,1,53,2,132250,3.0,1,21,8,1,9.0,2,2,1,0,3.0,0.0,7,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3,4,1632.72
45,0,3,0,1,54,1,35400,1.0,1,13,8,0,24.0,6,24,9,11,24.0,0.4583333333333333,6,15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3,3,1726.59
31,0,16,3,1,55,2,28040,0.0,1,19,8,2,3.0,0,2,2,2,4.0,1.0,16,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,3,3,2101.03
33,0,9,2,1,56,4,193920,6.0,1,12,8,1,12.0,3,10,8,8,2.0,0.8,18,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,3,3,1608.01
39,0,1,3,1,57,1,196650,1.0,1,22,8,1,21.0,6,21,11,10,21.0,0.4761904761904761,1,10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3,4,2691.59
43,0,7,3,1,58,4,24390,0.0,1,15,8,0,9.0,2,8,1,7,4.0,0.875,14,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,3,3,1744.85
49,0,1,2,1,59,3,73140,7.0,1,22,8,0,25.0,2,7,0,7,3.571428571428572,1.0,1,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3,4,2417.57
52,1,7,0,1,60,2,47740,2.0,1,18,8,1,11.0,2,8,7,7,5.5,0.875,7,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,3,3,1889.42
27,0,15,3,1,61,3,39020,1.0,1,22,8,0,4.0,2,4,1,2,4.0,0.5,15,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,3,4,2604.07
32,0,1,2,1,62,3,26620,1.0,1,11,8,1,13.0,6,13,11,9,13.0,0.6923076923076923,1,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,4,3,2508.58
27,0,13,1,1,63,4,28560,1.0,1,12,8,2,5.0,5,5,0,4,5.0,0.8,13,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,4,3,2326.0
31,0,24,2,1,64,2,10810,4.0,1,11,8,3,13.0,4,7,1,7,3.25,1.0,24,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,4,3,1605.5
32,0,7,2,1,65,2,24720,7.0,1,13,8,0,10.0,2,7,0,7,1.4285714285714286,1.0,7,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,3,3,1777.01
28,1,9,3,1,66,1,56730,5.0,1,14,8,1,5.0,4,3,2,2,1.0,0.6666666666666666,9,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,2,3,2649.63
30,0,13,2,1,67,4,41970,1.0,1,13,8,0,11.0,3,10,1,9,11.0,0.9,13,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,3,3,1434.88
31,0,2,0,1,68,1,97130,1.0,1,17,8,0,10.0,5,10,8,9,10.0,0.9,4,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,2,3,1500.31
39,0,19,3,1,69,1,20620,1.0,1,13,8,0,21.0,4,21,13,3,21.0,0.1428571428571428,38,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,3,3,1385.38
39,1,1,0,1,70,1,42840,4.0,1,17,8,1,12.0,0,1,0,0,3.0,0.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,3,3,2453.05
33,0,4,1,1,71,4,47880,3.0,1,11,8,1,9.0,0,7,0,1,3.0,0.1428571428571428,8,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,3,3,1795.99
47,0,4,2,1,72,2,59060,4.0,1,23,8,0,21.0,4,3,1,1,5.25,0.3333333333333333,4,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,4,4,1578.0
43,0,14,2,1,73,5,38860,1.0,1,17,8,2,9.0,2,9,0,0,9.0,0.0,28,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,3,3,1480.38
27,0,2,2,1,74,1,168230,0.0,1,17,8,0,6.0,3,5,1,4,4.0,0.8,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,3,3,2152.22
54,0,1,3,1,75,2,29330,3.0,1,12,8,2,20.0,2,4,0,3,6.666666666666667,0.75,2,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,3,3,1414.7
43,0,7,1,1,76,2,65000,8.0,1,23,8,0,10.0,3,1,0,0,1.25,0.0,7,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,3,4,1717.72
45,0,3,0,1,77,1,171740,9.0,1,14,8,1,12.0,6,10,9,8,1.3333333333333333,0.8,3,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,3.0,3,3,1718.22
40,0,2,3,1,78,4,50330,2.0,1,14,8,2,6.0,6,4,0,2,3.0,0.5,2,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,3,3,2290.16
29,1,29,2,1,79,1,23070,1.0,1,13,8,1,7.0,0,7,0,7,7.0,1.0,29,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3,3,2409.89
29,0,8,2,1,80,3,25870,0.0,1,22,8,2,4.0,3,3,2,2,4.0,0.6666666666666666,8,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,3,4,1650.76
30,0,10,2,1,81,2,55070,1.0,1,12,8,2,10.0,2,10,1,2,10.0,0.2,10,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,2,3,1760.67
27,0,11,1,1,82,1,43930,1.0,1,18,8,1,8.0,2,8,0,7,8.0,0.875,11,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2,3,1483.45
37,0,1,3,1,83,2,133480,7.0,1,14,8,0,8.0,4,6,0,4,1.1428571428571428,0.6666666666666666,1,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,3,3,1416.26
